Artist,Song,title
tape five,geraldines routine,geraldines routine
taylor swift,haunted - acoustic version,haunted - acoustic
taylor swift,out of the woods,out of the woods
taylor swift,treacherous,treacherous
taylor swift,i wish you would,i wish you would
taylor swift,mine,mine
taylor swift,haunted - acoustic,haunted - acoustic
taylor swift,the last time,the last time
taylor swift,beautiful ghosts - from the motion picture cats,beautiful ghosts - from the motion picture cats
taylor swift,wonderland,wonderland
taylor swift,this is why we cant have nice things,this is why we cant have nice things
taylor swift,back to december - acoustic version,back to december
taylor swift,shake it off,shake it off
taylor swift,the archer,the archer
taylor swift,gorgeous,gorgeous
taylor swift,i forgot that you existed,i forgot that you existed
taylor swift,state of grace,state of grace
taylor swift,mine - pop mix,mine - pop mix
taylor swift,superman,superman
taylor swift,the man,the man
taylor swift,i knew you were trouble (the 1989 world tour),i knew you were trouble.
taylor swift,we are never ever getting back together,we are never ever getting back together
taylor swift,mine - live/2011,mine - live/2011
taylor swift,the story of us,the story of us
taylor swift,mean,mean
taylor swift,fearless,fearless
taylor swift,september - recorded at the tracking room nashville,september - recorded at the tracking room nashville
taylor swift,lover,lover
taylor swift,you belong with me,you belong with me
taylor swift,miss americana the heartbreak prince,miss americana the heartbreak prince
taylor swift,white horse,white horse
taylor swift,the way i loved you,the way i loved you
taylor swift,...ready for it,...ready for it
taylor swift,red - original demo recording,red - original demo recording
taylor swift,holy ground,holy ground
taylor swift,sparks fly,sparks fly
taylor swift,the best day,the best day
taylor swift,enchanted,enchanted
taylor swift,death by a thousand cuts,death by a thousand cuts
taylor swift,cornelia street,cornelia street
taylor swift,tim mcgraw,tim mcgraw
taylor swift,cruel summer,cruel summer
taylor swift,afterglow,afterglow
taylor swift,love story,love story
taylor swift,everything has changed,everything has changed
taylor swift,sparks fly - live/2011,sparks fly
taylor swift,begin again,begin again
taylor swift,delicate,delicate
taylor swift,false god,false god
taylor swift,i did something bad,i did something bad
taylor swift,love story - us album version,love story
taylor swift,king of my heart,king of my heart
taylor swift,soon youll get better (feat. dixie chicks),soon youll get better (feat. dixie chicks)
taylor swift,all you had to do was stay,all you had to do was stay
taylor swift,superstar,superstar
taylor swift,london boy,london boy
taylor swift,lover (remix) feat. shawn mendes,lover (remix) feat. shawn mendes
taylor swift,i know places,i know places
taylor swift,i think he knows,i think he knows
taylor swift,teardrops on my guitar - radio single remix,teardrops on my guitar
taylor swift,wildest dreams,wildest dreams
taylor swift,paper rings,paper rings
taylor swift,new romantics (the 1989 world tour),new romantics
taylor swift,never grow up,never grow up
taylor swift,our song - instrumental w/ bg vocals,our song - instrumental w/ bg vocals
taylor swift,22,22
taylor swift,fifteen,fifteen
taylor swift,style,style
taylor swift,ours - live/2011,ours - live/2011
taylor swift,new romantics,new romantics
taylor swift,end game,end game
taylor swift,back to december,back to december
taylor swift,teardrops on my guitar,teardrops on my guitar
taylor swift,you need to calm down,you need to calm down
taylor swift,untouchable,untouchable
taylor swift,this is why we cant have nice things,this is why we cant have nice things
taylor swift,red,red
taylor swift,new years day,new years day
taylor swift,crazier,crazier
taylor swift,me (feat. brendon urie of panic at the disco),me (feat. brendon urie of panic at the disco)
taylor swift,so it goes...,so it goes...
taylor swift,lover - first dance remix,lover - first dance remix
taylor swift,dress,dress
taylor swift,dont blame me,dont blame me
taylor swift,only the young - featured in miss americana,only the young - featured in miss americana
taylor swift,how you get the girl,how you get the girl
taylor swift,picture to burn,picture to burn
taylor swift,you are in love,you are in love
taylor swift,dancing with our hands tied,dancing with our hands tied
taylor swift,i knew you were trouble.,i knew you were trouble.
taylor swift,style (the 1989 world tour),style (the 1989 world tour)
taylor swift,the story of us - us version,the story of us
taylor swift,clean,clean
taylor swift,call it what you want,call it what you want
taylor swift,welcome to new york,welcome to new york
taylor swift,i almost do,i almost do
taylor swift,if this was a movie,if this was a movie
taylor swift,sad beautiful tragic,sad beautiful tragic
taylor swift,last kiss - live/2011,last kiss - live/2011
taylor swift,new years day,new years day
taylor swift,stay stay stay,stay stay stay
taylor swift,dont blame me,dont blame me
taylor swift,treacherous - original demo recording,treacherous
taylor swift,we are never ever getting back together (the 1989 world tour),we are never ever getting back together
taylor swift,... ready for it,...ready for it
taylor swift,forever always,forever always
teammate,goldmine,goldmine
tear da club up thugs,slob on my nob,slob on my nob
tears for fears,everybody wants to rule the world,everybody wants to rule the world
tears for fears,head over heels - dave bascombe 7 n.mix,head over heels - dave bascombe 7 n.mix
tears for fears,shout,shout
tech n9ne,speedom (wwc2),speedom (wwc2)
technotronic,pump up the jam,pump up the jam
tennis,never work for free,never work for free
tennis,origins,origins
tensnake,feel of love - radio edit,feel of love - radio edit
tep no,the last ones standing,the last ones standing
testament,souls of black,souls of black
thao the get down stay down,holy roller,holy roller
that handsome devil,viva discordia,viva discordia
that handsome devil,elephant bones,elephant bones
the 1975,chocolate,chocolate
the 2 bears,not this time,not this time
the academy is...,about a girl,about a girl
the academy is...,almost here,almost here
the academy is...,season,season
the academy is...,summer hair forever young,summer hair forever young
the academy is...,the phrase that pays,the phrase that pays
the academy is...,rumored nights,rumored nights
the academy is...,lax to ohare,lax to ohare
the afters,myspace girl,myspace girl
the afters,moments like this,moments like this
the agony scene,paint it black (agony scene) - the agony scene album version,paint it black
the agony scene,paint it black,paint it black
the album leaf,another day (revised),another day (revised)
the album leaf,twentytwofourteen,twentytwofourteen
the album leaf,the light,the light
the album leaf,a day in the life,a day in the life
the all-american rejects,kids in the street,kids in the street
the all-american rejects,fallin apart,fallin apart
the all-american rejects,gives you hell,gives you hell
the all-american rejects,mona lisa (when the world comes down),mona lisa (when the world comes down)
the all-american rejects,swing swing,swing swing
the all-american rejects,dirty little secret,dirty little secret
the all-american rejects,stab my back,stab my back
the all-american rejects,move along,move along
the all-american rejects,it ends tonight,it ends tonight
the all-american rejects,another heart calls,another heart calls
the all-american rejects,top of the world,top of the world
the almost,say this sooner,say this sooner
the american dollar,signaling through the flames,signaling through the flames
the american dollar,peterson (the american dollar),peterson (the american dollar)
the american dollar,anything you synthesize - ambient,anything you synthesize - ambient
the archies,sugar sugar,sugar sugar
the ataris,the boys of summer,the boys of summer
the ataris,so long astoria,so long astoria
the ataris,in this diary,in this diary
the audition,basbhat,basbhat
the audition,the ultimate cover up,the ultimate cover up
the audition,my temperatures rising,my temperatures rising
the audition,its gonna be hard,its gonna be hard
the automatic,monster - us album version,monster - us album version
the automatic,on the campaign trail - us album version,on the campaign trail - us album version
the automatic,thats what she said,thats what she said
the b-52s,love shack,love shack
the band perry,if i die young,if i die young
the bangles,manic monday,manic monday
the bangles,walk like an egyptian,walk like an egyptian
the bangles,walk like an egyptian - album/single,walk like an egyptian
the barr brothers,valhallas,valhallas
the beach boys,good vibrations - 2001 - remaster,good vibrations - 2001 - remaster
the beach boys,wouldnt it be nice - 1999 - remaster,wouldnt it be nice - 1999 - remaster
the beatards,get lite,get lite
the beatles,twist and shout - remastered 2009,twist and shout - remastered
the beatles,octopuss garden - remastered 2009,octopuss garden - remastered 2009
the beatles,love me do - remastered 2009,love me do - remastered
the beatles,yesterday - remastered 2009,yesterday - remastered
the beatles,i am the walrus - remastered 2009,i am the walrus
the beatles,ticket to ride - remastered 2009,ticket to ride
the beatles,hey jude,hey jude
the beatles,i want to hold your hand - remastered 2015,i want to hold your hand - remastered 2015
the beatles,hey jude - love version,hey jude
the beatles,here comes the sun - remastered 2009,here comes the sun
the beatles,while my guitar gently weeps - remastered,while my guitar gently weeps - remastered
the beatles,yesterday - remastered,yesterday - remastered
the beatles,come together - remastered 2009,come together
the beatles,ticket to ride - remastered,ticket to ride
the beatles,come together,come together
the beatles,she came in through the bathroom window,she came in through the bathroom window
the beatles,golden slumbers,golden slumbers
the beatles,ticket to ride,ticket to ride
the beatles,here comes the sun,here comes the sun
the beatles,twist and shout - remastered,twist and shout - remastered
the beatles,come together - remastered,come together
the beatles,here comes the sun - remastered,here comes the sun
the beatles,while my guitar gently weeps - remastered 2009,while my guitar gently weeps - remastered
the beatles,i am the walrus,i am the walrus
the beatles,a hard days night - remastered,a hard days night - remastered
the beatles,love me do - remastered,love me do - remastered
the big bopper,chantilly lace,chantilly lace
the black crowes,hard to handle,hard to handle
the black dahlia murder,statutory ape,statutory ape
the black dahlia murder,necropolis,necropolis
the black dahlia murder,moonlight equilibrium,moonlight equilibrium
the black eyed peas,ritmo (bad boys for life),ritmo (bad boys for life)
the black ghosts,full moon,full moon
the black keys,tighten up,tighten up
the black keys,everlasting light,everlasting light
the black keys,youre the one,youre the one
the black keys,lonely boy,lonely boy
the black keys,set you free,set you free
the black keys,gold on the ceiling,gold on the ceiling
the brobecks,small cuts,small cuts
the buggles,video killed the radio star,video killed the radio star
the buzzhorn,rhino,rhino
the cab,intoxicated,intoxicated
the cab,disturbia (rihanna cover),disturbia (rihanna cover)
the cab,angel with a shotgun,angel with a shotgun
the cab,animal,animal
the cab,ill run,ill run
the cab,bounce,bounce
the cab,i am who i am feat. eloquent,i am who i am feat. eloquent
the cab,bad,bad
the cab,one of those nights,one of those nights
the cars,you might think,you might think
the cars,just what i needed,just what i needed
the cataracs,top of the world,top of the world
the cataracs,all you,all you
the cataracs,undercover,undercover
the chainsmokers,until you were gone - boehm remix,until you were gone - boehm remix
the chainsmokers,kanye - louis the child remix,kanye - louis the child remix
the chainsmokers,selfie,selfie
the chainsmokers,family,family
the chainsmokers,paris,paris
the chainsmokers,dont let me down,dont let me down
the chiffons,one fine day,one fine day
the chords,sh-boom - single version,sh-boom - single version
the clash,rock the casbah - remastered,rock the casbah - remastered
the clash,should i stay or should i go - remastered,should i stay or should i go
the clash,train in vain - remastered,train in vain - remastered
the clash,should i stay or should i go,should i stay or should i go
the classic crime,the coldest heart,the coldest heart
the click five,pop princess,pop princess
the click five,angel to you (devil to me),angel to you (devil to me)
the click five,good day,good day
the click five,just the girl,just the girl
the click five,catch your wave,catch your wave
the clovers,love potion no. 9 - remastered / single version,love potion no. 9 - remastered / single version
the coasters,down in mexico,down in mexico
the coasters,yakety yak,yakety yak
the color and sound,graves,graves
the colourist,oh goodbye,oh goodbye
the colourist,what can i say,what can i say
the colourist,say you need me,say you need me
the colourist,wishing wells,wishing wells
the colourist,we wont go home,we wont go home
the confession,time is gone,time is gone
the corrs,everybody hurts - mtv unplugged version,everybody hurts - mtv unplugged version
the cranberries,linger,linger
the crickets,maybe baby,maybe baby
the cure,just like heaven,just like heaven
the dangerous summer,where i want to be,where i want to be
the dangerous summer,the permanent rain,the permanent rain
the darkness,i believe in a thing called love,i believe in a thing called love
the deans list,light up the sky (feat. dani ummel),light up the sky (feat. dani ummel)
the deans list,hollywood,hollywood
the deans list,ill be okay,ill be okay
the deans list,burn it all,burn it all
the death set,negative thinking,negative thinking
the decemberists,the legionnaires lament,the legionnaires lament
the dirty heads,my sweet summer,my sweet summer
the dirty heads,sound of change,sound of change
the donnas,take it off,take it off
the doobie brothers,listen to the music - with blake shelton and hunter hayes on guitar,listen to the music - with blake shelton and hunter hayes on guitar
the doors,break on through (to the other side),break on through (to the other side)
the downtown fiction,freak,freak
the downtown fiction,i just wanna run,i just wanna run
the downtown fiction,thanks for nothing,thanks for nothing
the drifters,under the boardwalk,under the boardwalk
the echelon effect,branches and constellations,branches and constellations
the echelon effect,as the lights fade away,as the lights fade away
the echelon effect,monterey,monterey
the electric swing circus,everybody wants to be a cat,everybody wants to be a cat
the evolved,the charr triumphant (from guild wars 2),the charr triumphant (from guild wars 2)
the exies,normal,normal
the exies,once in a lifetime,once in a lifetime
the exies,my ordinary world,my ordinary world
the fall of troy,f.c.p.r.e.m.i.x.,f.c.p.r.e.m.i.x.
the features,two hearts,two hearts
the flaming lips,do you realize,do you realize
the format,she doesnt get it,she doesnt get it
the foundations,build me up buttercup,build me up buttercup
the foundations,build me up buttercup (re-recorded),build me up buttercup
the four tops,i cant help myself (sugar pie honey bunch),i cant help myself (sugar pie honey bunch)
the fratellis,for the girl,for the girl
the fratellis,henrietta,henrietta
the fratellis,mistress mabel,mistress mabel
the fratellis,medusa in chains,medusa in chains
the fratellis,chelsea dagger,chelsea dagger
the fratellis,starcrossed losers,starcrossed losers
the fray,how to save a life,how to save a life
the freshman,hello there - street,hello there - street
the friday night boys,stuttering,stuttering
the gaslight anthem,howl,howl
the gaslight anthem,stay vicious,stay vicious
the gaslight anthem,45,45
the gaslight anthem,1000 years,1000 years
the go-gos,we got the beat - 2011 - remaster,we got the beat - 2011 - remaster
the go-gos,we got the beat - single mix,we got the beat - single mix
the go-gos,vacation,vacation
the grand gestures,the world will break your heart,the world will break your heart
the griswolds,down and out,down and out
the higher,its only natural,its only natural
the hit co.,september 99 (phats small remix),september 99 (phats small remix)
the hives,two-timing touch and broken bones,two-timing touch and broken bones
the hives,tick tick boom,tick tick boom
the hives,hate to say i told you so,hate to say i told you so
the hot sardines,when i get low i get high,when i get low i get high
the hunna,you me,you me
the hunts,remember us,remember us
the hush sound,we intertwined,we intertwined
the hush sound,unsafe safe,unsafe safe
the hush sound,honey,honey
the hush sound,wine red - tommie sunshines brooklyn fire retouch,wine red - tommie sunshines brooklyn fire retouch
the hush sound,molasses,molasses
the icarus account,sunshine and rain,sunshine and rain
the interrupters,family (feat. tim armstrong),family (feat. tim armstrong)
the isley brothers,shout pts. 1 2,shout pts. 1 2
the j. geils band,freeze-frame,freeze-frame
the j. geils band,centerfold,centerfold
the jackson 5,santa claus is coming to town,santa claus is coming to town
the jackson 5,i want you back,i want you back
the jackson 5,abc,abc
the jacksons,blame it on the boogie,blame it on the boogie
the joy formidable,whirring,whirring
the karaoke hit machine,bitches and bottles (lets get it started) karaoke version,bitches and bottles (lets get it started) karaoke version
the keep,snakebite,snakebite
the killers,here with me,here with me
the killers,be still,be still
the killers,just another girl,just another girl
the killers,the way it was,the way it was
the killers,mr. brightside,mr. brightside
the killers,somebody told me,somebody told me
the killers,spaceman,spaceman
the killers,all these things that ive done,all these things that ive done
the killers,runaways,runaways
the killers,when you were young,when you were young
the killers,mona lisas and mad hatters,mona lisas and mad hatters
the killers,read my mind,read my mind
the kills,pull a u,pull a u
the kingsmen,louie louie,louie louie
the kinks,a well respected man,a well respected man
the knack,my sharona,my sharona
the knocks,ride or die (feat. foster the people),ride or die (feat. foster the people)
the knocks,classic (feat. fetty wap powers ),classic (feat. fetty wap powers )
the knocks,dancing with the dj,dancing with the dj
the knux,bang bang,bang bang
the knux,run,run
the kooks,initials for gainsbourg,initials for gainsbourg
the kooks,seaside,seaside
the kooks,no pressure,no pressure
the kooks,fractured and dazed,fractured and dazed
the kooks,swing low,swing low
the kooks,pumped up kicks - bbc live version,pumped up kicks - bbc live version
the kooks,believe,believe
the kooks,four leaf clover,four leaf clover
the kooks,naive,naive
the kooks,forgive forget,forgive forget
the kooks,she moves in her own way,she moves in her own way
the kooks,picture frame,picture frame
the kooks,kids,kids
the last dinosaur,every second is a second chance,every second is a second chance
the last shadow puppets,used to be my girl,used to be my girl
the last sleepless city,let it go,let it go
the libertines,time for heroes,time for heroes
the lighthouse and the whaler,pioneers,pioneers
the limousines,internet killed the video star,internet killed the video star
the living end,prisoner of society,prisoner of society
the lonely island,like a boss,like a boss
the lonely island,im on a boat,im on a boat
the lonely island,yolo,yolo
the lumineers,ho hey,ho hey
the lumineers,ophelia,ophelia
the lumineers,slow it down,slow it down
the madden brothers,out of my mind,out of my mind
the magic orchestra,ash and smoke,ash and smoke
the magic orchestra,the white tree - from the lord of the rings,the white tree - from the lord of the rings
the main drag,a jagged gorgeous winter,a jagged gorgeous winter
the maine,the way we talk,the way we talk
the maine,everything i ask for,everything i ask for
the maine,inside of you,inside of you
the maine,right girl,right girl
the maine,into your arms,into your arms
the mars volta,the widow,the widow
the mars volta,inertiatic esp,inertiatic esp
the marvelettes,please mr. postman,please mr. postman
the maze,on your own,on your own
the medic droid,fer sure - 2008 version,fer sure
the medic droid,fer sure,fer sure
the medic droid,its about love,its about love
the mighty mighty bosstones,the impression that i get,the impression that i get
the mighty mighty bosstones,whered you go,whered you go
the monkees,daydream believer,daydream believer
the monkees,im a believer,im a believer
the monotones,the book of love,the book of love
the monthly trades,melt with you,melt with you
the mooney suzuki,alive amplified,alive amplified
the morning light,clouds,clouds
the mowglis,san francisco,san francisco
the muffs,kids in america,kids in america
the naked and famous,young blood,young blood
the naked and famous,punching in a dream,punching in a dream
the naked and famous,girls like you,girls like you
the national,born to beg,born to beg
the national,the system only dreams in total darkness,the system only dreams in total darkness
the national,i need my girl,i need my girl
the national,empire line,empire line
the national,dont swallow the cap,dont swallow the cap
the national,i should live in salt,i should live in salt
the national,exile vilify,exile vilify
the neighbourhood,sweater weather,sweater weather
the neighbourhood,sweater weather - spotify sessions curated by jim eno,sweater weather
the neighbourhood,afraid,afraid
the new basement tapes,spanish mary,spanish mary
the new morty show,knockin at your door,knockin at your door
the new pornographers,war on the east coast,war on the east coast
the new pornographers,the electric version,the electric version
the notorious b.i.g.,one more chance,one more chance
the notorious b.i.g.,hypnotize - 2007 remaster,hypnotize
the notorious b.i.g.,mo money mo problems,mo money mo problems
the notorious b.i.g.,hypnotize - explicit album version,hypnotize - explicit album version
the notorious b.i.g.,mo money mo problems (feat. mase puff daddy),mo money mo problems (feat. mase puff daddy)
the notorious b.i.g.,hypnotize,hypnotize
the notorious b.i.g.,mo money mo problems - 2005 remaster,mo money mo problems
the ojays,love train,love train
the offspring,the kids arent alright,the kids arent alright
the offspring,youre gonna go far kid,youre gonna go far kid
the offspring,pretty fly (for a white guy),pretty fly (for a white guy)
the offspring,days go by,days go by
the offspring,trust in you,trust in you
the offspring,hammerhead,hammerhead
the offspring,kristy are you doing okay,kristy are you doing okay
the offspring,why dont you get a job,why dont you get a job
the original chin chins,hey mickey youre so fine,hey mickey youre so fine
the orwells,who needs you,who needs you
the outfield,your love,your love
the outlaws,green grass high tides - remastered,green grass high tides (live)
the outlaws,green grass high tides (live),green grass high tides (live)
the outline,shotgun,shotgun
the panic channel,why cry,why cry
the parlor mob,into the sun,into the sun
the parlor mob,cant keep no good boy down,cant keep no good boy down
the pass,halo,halo
the pink spiders,modern swinger,modern swinger
the pointer sisters,im so excited,im so excited
the police,every little thing she does is magic - 2003 stereo remastered version,every little thing she does is magic
the police,every little thing she does is magic,every little thing she does is magic
the police,every little thing she does is magic - remastered 2003,every little thing she does is magic
the police,message in a bottle,message in a bottle
the police,dont stand so close to me,dont stand so close to me
the police,message in a bottle - 2003 stereo remastered version,message in a bottle
the polish ambassador,shine bright,shine bright
the postal service,such great heights - remastered,such great heights - remastered
the postal service,suddenly everything has changed (remastered),suddenly everything has changed (remastered)
the postal service,sleeping in - remastered,sleeping in
the postal service,clark gable - remastered,clark gable
the postal service,we will become silhouettes - remastered,we will become silhouettes
the postal service,nothing better,nothing better
the postal service,sleeping in,sleeping in
the postal service,we will become silhouettes,we will become silhouettes
the postal service,clark gable,clark gable
the postelles,stella,stella
the preatures,is this how you feel,is this how you feel
the preatures,cruel,cruel
the presets,no fun,no fun
the presidents of the united states of america,peaches,peaches
the presidents of the united states of america,lump,lump
the pretty reckless,heaven knows,heaven knows
the proclaimers,im gonna be (500 miles),im gonna be (500 miles)
the raconteurs,steady as she goes,steady as she goes
the raspberries,go all the way,go all the way
the ready set,upsets and downfalls,upsets and downfalls
the ready set,give me your hand best song ever,give me your hand best song ever
the ready set,more than alive,more than alive
the ready set,love like woe,love like woe
the ready set,give me your hand (best song ever),give me your hand best song ever
the ready set,killer,killer
the ready set,stays four the same,stays four the same
the ready set,back to back,back to back
the red jumpsuit apparatus,cat and mouse,cat and mouse
the red jumpsuit apparatus,face down,face down
the red jumpsuit apparatus,damn regret,damn regret
the red jumpsuit apparatus,false pretense,false pretense
the replacements,alex chilton,alex chilton
the replacements,alex chilton - 2008 remastered version,alex chilton
the replacements,alex chilton - 2008 remaster,alex chilton
the revivalists,wish i knew you,wish i knew you
the rocket summer,do you feel,do you feel
the rocket summer,break it out,break it out
the rocket summer,same air,same air
the rolling stones,pain in my heart - live in ireland / 1965,pain in my heart - live in ireland / 1965
the rolling stones,doom and gloom - jeff bhasker mix,doom and gloom
the rolling stones,charlies intro to little red rooster - live,charlies intro to little red rooster - live
the rolling stones,start me up - 2009 re-mastered digital version,start me up
the rolling stones,im alright - live,im alright - live
the rolling stones,start me up - remastered,start me up
the rolling stones,not fade away - live,not fade away - live
the rolling stones,gimme shelter,gimme shelter
the rolling stones,(i cant get no) satisfaction - mono version / remastered 2002,(i cant get no) satisfaction - mono version / remastered 2002
the rolling stones,sympathy for the devil - 50th anniversary edition,sympathy for the devil
the rolling stones,route 66 - live,route 66 - live
the rolling stones,paint it black - (original single mono version),paint it black - (original single mono version)
the rolling stones,start me up,start me up
the rolling stones,start me up - remastered 2009,start me up
the rolling stones,sympathy for the devil,sympathy for the devil
the rolling stones,doom and gloom,doom and gloom
the romantics,what i like about you,what i like about you
the royal,headfirst,headfirst
the royal concept,on our way,on our way
the runaway club,good together,good together
the rural alberta advantage,terrified,terrified
the scene aesthetic,such great heights,such great heights
the scene aesthetic,love through post cards,love through post cards
the scene aesthetic,beauty in the breakdown (acoustic),beauty in the breakdown (acoustic)
the script,for the first time,for the first time
the script,never seen anything quite like you,never seen anything quite like you
the script,superheroes,superheroes
the script,breakeven,breakeven
the secret handshake,tgif,tgif
the shins,bait and switch,bait and switch
the shins,name for you,name for you
the shins,pressed in a book,pressed in a book
the shoes,time to dance,time to dance
the sleep specialist,peaceful forest,peaceful forest
the sleeping,bad religion,bad religion
the smashing pumpkins,bullet with butterfly wings - remastered 2012,bullet with butterfly wings
the smashing pumpkins,bullet with butterfly wings,bullet with butterfly wings
the smashing pumpkins,landslide,landslide
the smashing pumpkins,today,today
the smashing pumpkins,cherub rock,cherub rock
the smiths,this charming man - 2011 remaster,this charming man - 2011 remaster
the south street band,you make my dreams come true,you make my dreams come true
the spill canvas,all over you,all over you
the starting line,inspired by the,inspired by the
the starting line,the best of me,the best of me
the starting line,island,island
the sterns,supreme girl,supreme girl
the stooges,search and destroy - iggy pop mix,search and destroy - iggy pop mix
the story so far,all wrong,all wrong
the strokes,under cover of darkness,under cover of darkness
the strokes,oblivius,oblivius
the strokes,someday,someday
the strokes,threat of joy,threat of joy
the strokes,reptilia,reptilia
the struts,could have been me,could have been me
the struts,i always knew/hotline bling - live / acoustic,i always knew/hotline bling - live / acoustic
the summer obsession,burning bridges,burning bridges
the summer obsession,death said,death said
the summer set,chelsea,chelsea
the summer set,punch-drunk love,punch-drunk love
the summer set,boomerang,boomerang
the summer set,slip away,slip away
the summer set,wasted,wasted
the summer set,the boys you do (get back at you),the boys you do (get back at you)
the supremes,you cant hurry love,you cant hurry love
the temper trap,fall together,fall together
the temptations,my girl,my girl
the tender box,another lover,another lover
the trouble with templeton,glue,glue
the unlikely candidates,follow my feet,follow my feet
the used,buried myself alive,buried myself alive
the used,the taste of ink,the taste of ink
the used,wake the dead,wake the dead
the vaccines,blow it up,blow it up
the vaccines,handsome,handsome
the vamps,somebody to you,somebody to you
the vamps,all night,all night
the vapors,turning japanese,turning japanese
the venetia fair,a lady and a tramp,a lady and a tramp
the venetia fair,the day i set them free,the day i set them free
the venetia fair,(iv) the saints of gomorrah,(iv) the saints of gomorrah
the vincent black shadow,metro,metro
the vincent black shadow,stereogram,stereogram
the vincent black shadow,dont make me so mad,dont make me so mad
the vincent black shadow,stupid intruders,stupid intruders
the vincent black shadow,never saw it comin,never saw it comin
the vincent black shadow,the house of tasteful men,the house of tasteful men
the vincent black shadow,dig dig dig,dig dig dig
the vines,in the jungle,in the jungle
the wanted,glad you came,glad you came
the warsaw symphony orchestra,the prophecy - herr der ringe - lord of the rings,the prophecy - herr der ringe - lord of the rings
the weeknd,starboy,starboy
the weeknd,i feel it coming,i feel it coming
the weeknd,cant feel my face,cant feel my face
the weeknd,in the night,in the night
the weeknd,blinding lights,blinding lights
the weeknd,shameless,shameless
the weeknd,pray for me (with kendrick lamar),pray for me (with kendrick lamar)
the well pennies,nothing to do,nothing to do
the white panda,cooler than latch (disclosure ft. sam smith // mike posner),cooler than latch (disclosure ft. sam smith // mike posner)
the white panda,say no diggity (odesza // blackstreet),say no diggity (odesza // blackstreet)
the white stripes,blue orchid,blue orchid
the white stripes,seven nation army,seven nation army
the white stripes,icky thump,icky thump
the white stripes,fell in love with a girl,fell in love with a girl
the white stripes,hotel yorba,hotel yorba
the white tie affair,scene change,scene change
the white tie affair,allow me to introduce myself...mr. right,allow me to introduce myself...mr. right
the white tie affair,candle (sick and tired),candle (sick and tired)
the white tie affair,you look better when im drunk,you look better when im drunk
the white tie affair,the enemy,the enemy
the who,pinball wizard - original album version,pinball wizard - original album version
the who,magic bus - original stereo version,magic bus
the who,magic bus,magic bus
the who,wont get fooled again (full l,wont get fooled again
the who,who are you,who are you
the who,wont get fooled again,wont get fooled again
the wind and the wave,edge of seventeen,edge of seventeen
the wind and the wave,from the wreckage build a home,from the wreckage build a home
the wind and the wave,ignition (remix),ignition
the wind and the wave,ignition,ignition
the wombats,1996,1996
the wombats,your body is a weapon,your body is a weapon
the word alive,light house,light house
the world famous tony williams,blazin high (prod. by oddz n endz) feat. wale macklemore emilio rojas,blazin high (prod. by oddz n endz) feat. wale macklemore emilio rojas
the zolas,strange girl,strange girl
them terribles,bullets and guns,bullets and guns
theory of a deadman,affluenza,affluenza
theory of a deadman,bad girlfriend,bad girlfriend
theory of a deadman,out of my head,out of my head
there for tomorrow,a little faster,a little faster
they might be giants,istanbul (not constantinople),istanbul (not constantinople)
thin lizzy,the boys are back in town,the boys are back in town
thin lizzy,bad reputation,bad reputation
third eye blind,ways,ways
third eye blind,jumper - 1998 edit,jumper - 1998 edit
third eye blind,semi-charmed life,semi-charmed life
third eye blind,hows it going to be,hows it going to be
third eye blind,jumper,jumper
thirty seconds to mars,rescue me,rescue me
this century,sound of fire,sound of fire
this century,slow dance night,slow dance night
this patch of sky,love is in beauty and chaos,love is in beauty and chaos
this providence,card house dreamer,card house dreamer
this providence,sand in your shoes - acoustic,sand in your shoes - acoustic
this will destroy you,killed the lord left for the new world,killed the lord left for the new world
this will destroy you,dustism,dustism
thomas bergersen,sky titans,sky titans
thomas bergersen,moving mountains,moving mountains
thomas bergersen,dragon rider,dragon rider
thomas newman,wall-e,wall-e
thomas newman,the axiom,the axiom
thomas newman,rogue robots,rogue robots
three 6 mafia,poppin my collar - feat. project pat - explicit,poppin my collar - feat. project pat - explicit
three days grace,landmine,landmine
three days grace,i hate everything about you,i hate everything about you
thrice,the artist in the ambulance,the artist in the ambulance
thriving ivory,angels on the moon,angels on the moon
thursday,counting 5-4-3-2-1,counting 5-4-3-2-1
thurston harris,little bitty pretty one,little bitty pretty one
tiffany,i think were alone now,i think were alone now
tim mcgraw,my little girl - from the motion picture my friend flicka,my little girl - from the motion picture my friend flicka
timbiriche,tu y yo somos uno mismo,tu y yo somos uno mismo
timbiriche,con todos menos conmigo,con todos menos conmigo
timbiriche,si no es ahora,si no es ahora
timbiriche,besos de ceniza,besos de ceniza
timeflies,wild ones,wild ones
timeflies,all the way,all the way
timeflies,cars money and fame,cars money and fame
timeflies,detonate,detonate
timeflies,tonight i cant say no,tonight i cant say no
timeflies,lose my mind,lose my mind
timeflies,until the sunrise,until the sunrise
timeflies,turn it up,turn it up
timeflies,pipe dreams,pipe dreams
timeflies,swoon,swoon
timeflies,ex games,ex games
timeflies,i choose u,i choose u
timeflies,smfwu,smfwu
timeflies,once in a while,once in a while
timmy trumpet,freaks - radio edit,freaks - radio edit
timmy and the lords of the underworld,timmy and the lords of the underworld,timmy and the lords of the underworld
tinashe,feels like vegas,feels like vegas
tinie tempah,written in the stars (feat. eric turner),written in the stars (feat. eric turner)
tiesto,lets go,lets go
tiesto,secrets - radio edit,secrets - radio edit
tobymac,feel it,feel it
